0 [0.00e+00]
1000 [1.13e-03]
2000 [1.62e-03]
3000 [1.07e-03]
4000 [8.02e-04]
5000 [6.46e-04]
6000 [4.61e-04]
7000 [2.66e-04]
8000 [1.20e-04]
9000 [6.79e-05]
10000 [6.22e-05]
11000 [6.32e-05]
12000 [6.45e-05]
13000 [6.77e-03]
14000 [5.14e-04]
15000 [2.82e-04]
16000 [3.72e-04]
17000 [8.04e-04]
18000 [1.14e-03]
19000 [1.18e-03]
20000 [1.03e-03]
21000 [7.85e-04]
22000 [4.72e-04]
23000 [2.05e-04]
24000 [6.38e-05]
25000 [2.38e-05]
26000 [1.95e-05]
27000 [1.88e-05]
28000 [1.87e-05]
29000 [1.86e-05]
30000 [1.86e-05]
31000 [1.86e-05]
32000 [1.85e-05]
